,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std
RF,81.67,5.21,79.25,4.57,99.49,1.35,88.16,3.02,90.04,4.12
SVM,87.19,2.33,87.95,3.85,94.42,2.79,90.98,1.41,92.91,1.67
