,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_f1_mean,test_f1_std,test_roc_auc_mean,test_roc_auc_std
RF,71.61,5.99,59.09,20.86,34.77,13.14,43.2,14.87,68.69,8.97
SVM,62.63,4.77,43.1,6.42,58.63,16.05,49.33,9.57,68.68,8.31
