,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_roc_auc_mean,test_roc_auc_std
RF,83.39,2.74,64.99,8.32,96.67,7.03,49.78,9.96,91.19,5.03
SVM,88.6,3.23,79.15,6.7,94.07,7.77,69.44,11.2,93.77,4.55
