,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_roc_auc_mean,test_roc_auc_std
RF,68.51,4.44,35.37,14.82,51.0,18.89,29.33,17.33,66.42,8.57
SVM,65.38,9.68,54.7,12.07,47.29,10.58,66.33,18.77,67.0,10.88
