pca_feat0,pca_feat1,pca_feat2,pca_feat3,pca_feat4,pca_feat5,pca_feat6,pca_feat7,pca_feat8,pca_feat9,pca_feat10,pca_feat11,pca_feat12,pca_feat13,pca_feat14,pca_feat15,pca_feat16,pca_feat17,pca_feat18,pca_feat19,pca_feat20,pca_feat21,pca_feat22,pca_feat23,pca_feat24,pca_feat25,pca_feat26,pca_feat27,pca_feat28,pca_feat29,pca_feat30,pca_feat31,pca_feat32,pca_feat33,pca_feat34,pca_feat35,pca_feat36,pca_feat37,pca_feat38,pca_feat39,pca_feat40,pca_feat41,pca_feat42,pca_feat43,pca_feat44,pca_feat45,pca_feat46,pca_feat47,pca_feat48,pca_feat49,Label
-2.7189677,-3.623652,-5.739127,-7.8799963,-22.076555,3.8853462,3.3230162,-2.073456,-6.2156644,1.0259367,3.237828,-5.4087224,-8.121512,1.2872963,1.1347208,-4.7931247,-0.08328723,-0.6429221,5.594338,7.799776,0.2446732,3.8407314,6.0219975,-5.074193,-2.7672133,-4.6306524,-2.9532053,-0.7895916,0.59821826,-5.1101875,-2.8115673,3.4233382,-0.8794047,-0.5382547,-7.1500473,2.4720824,2.4840295,2.0005577,-1.5139874,-1.1541396,5.65663,-3.380398,2.3551047,1.4534798,2.379199,-3.3937416,6.602148,-1.443592,0.34181508,-3.2161996,0
-0.81889457,-9.704231,-9.699597,-2.7088854,-9.942339,7.045172,-2.4023516,0.6675818,-10.583497,1.894489,-5.866918,0.07648791,-5.8198247,4.639461,5.189653,-1.3223208,1.8684698,2.63322,-3.7446358,9.212425,-4.2074456,-1.42096,6.8366327,-3.4214747,-0.3653335,-2.7765367,-11.552723,2.0018656,6.665741,-5.65497,-2.0123973,-1.1931268,0.31979716,0.96174806,-1.1699251,-3.532066,1.608709,-0.6224161,-2.503781,-1.6066251,0.22986418,-9.0933695,-0.4722973,-2.9099977,-11.176343,1.89432,1.2864186,0.04626493,4.704502,1.7093991,0
1.8339956,-7.1007996,-4.9206176,12.759289,-1.8212575,1.7572538,1.2600169,5.1282516,-2.3028946,-4.435736,-4.2209888,-0.31563184,-0.9538806,-0.85811335,-0.32792574,4.622446,3.4648073,4.932709,-0.5827736,-0.9783023,0.23775215,3.8886304,-0.6964152,5.266426,-1.0529661,0.97207594,3.3272693,2.1712422,1.3008709,-3.6920192,-2.2178538,-1.1340098,-6.414838,0.27701604,-0.092718184,-2.3499677,1.1171858,-1.8030819,3.9470596,3.9223065,-1.0587115,1.1196041,0.35572505,-0.016052896,-0.64528126,0.031075047,-0.38545322,-0.051918086,-2.7373044,1.005177,0
-14.474524,-8.036667,-2.921746,-7.788719,-2.4744918,-0.7512679,2.5130653,6.751856,-2.9528534,5.027562,1.1242735,-3.405072,-2.6385198,1.3225697,-0.17521417,-1.2966064,2.7742543,-9.207724,6.137379,0.20800023,5.5704417,1.2726122,-3.2617679,1.3821576,-3.6996593,0.96157604,1.9044045,-1.2768244,2.7748897,2.248814,-2.9327695,3.494851,4.5143347,4.0400176,-0.74165136,2.7324305,2.2116833,-0.33376423,3.4450488,0.32516754,-3.3434732,4.279186,-4.4112487,-0.9006721,-1.4611493,4.4717193,6.2927413,4.6421347,0.10661273,-3.0532243,0
3.2932756,2.2873216,7.3693476,7.839765,1.2953737,2.7362535,-2.2761683,-4.692806,-10.369695,-4.742641,7.128259,-2.3519778,-4.502858,-0.7722866,3.061934,3.7678757,0.2769867,0.54994637,-4.4225082,-1.3486285,-6.9584093,-4.075333,5.9541183,1.800276,-10.7998495,3.4876332,2.9133933,4.2196293,-1.0505129,-7.2679377,-11.777477,-3.154973,0.5619609,-1.4259864,0.7519168,-4.0783944,-2.119598,-0.4632888,2.5560029,-1.369759,-4.0569487,10.926954,0.19017129,-3.6546886,-2.086493,-3.6390035,-2.2606065,2.048334,-0.37582916,-2.7953146,0
4.3120418,-1.3711876,13.406176,-20.727528,7.0493193,2.5466008,6.610219,-12.358583,12.826863,-5.511572,6.2034006,-10.334519,-13.401239,-0.6012084,-1.4082263,1.6183264,9.836362,12.445625,-10.379688,-3.263282,8.342416,-10.61766,16.760254,7.5346828,2.7508843,-5.230401,2.4542296,-2.870473,-7.1839147,6.713367,5.8552613,2.8143425,-4.7890816,-6.1615915,-4.0637326,-1.0247881,6.348509,-0.642045,-3.5706623,-2.1935802,-5.182301,-4.837778,-2.9278345,-10.800841,-5.3467703,-10.088526,-6.416021,3.5784233,-4.9966297,4.019874,0
-2.836968,3.4746337,4.6288476,-12.807609,3.0422187,18.48555,11.207956,-17.56791,-0.18292585,19.643642,1.5977726,8.981426,10.577098,1.7799813,-7.5680757,0.28486606,0.4751597,-4.6612806,12.509725,-13.8583555,-8.327765,-5.8517733,0.24908091,-7.5052447,3.9617434,9.371661,-4.5614796,-0.83338815,5.0998645,-1.1351231,-0.9867715,-8.984754,-1.3143613,-11.251114,3.002102,-1.2398906,0.13977765,-0.6820709,6.430453,2.4030442,-0.72290725,0.31470013,-3.455687,5.5182633,-7.361772,-0.34257698,-4.3905463,1.9338738,1.5711969,-11.9217615,0
-2.6640067,8.877478,9.80755,-8.511376,-0.71961015,3.322414,11.668195,4.0515666,-3.5148642,-7.3811374,-1.3134172,-5.983586,-3.607107,-5.082536,-0.07683111,0.18615809,-5.5091677,-1.2822596,4.1435294,7.3281837,7.0448947,-0.29409924,8.436291,-8.028928,-0.9888777,0.6534658,5.708326,-2.8816736,3.6183183,-0.66606385,10.537062,0.1530349,-2.2579024,0.7553014,0.42602852,5.5483828,-2.550444,0.06021083,0.00905895,-2.466426,1.0139515,-0.87252426,-1.2314485,3.2789736,3.316165,-0.6469678,1.9195843,-3.0887375,-5.2762012,1.7250679,0
10.301949,6.6653714,-0.6767045,-6.5463095,-2.360727,15.663312,0.5738388,-9.667639,-1.7712817,2.8502066,0.063647136,-11.13542,5.7311044,5.1949077,-7.4163895,-2.7626257,-2.7235985,5.129588,10.041089,-7.4410214,6.443119,2.8788898,1.4619658,-3.4466066,5.9134703,-10.326555,-1.8385152,-3.7561893,-0.5876417,-3.8878033,2.3135023,0.95630664,-7.9961915,2.2888672,5.3901377,3.3922038,-2.023896,-2.515239,2.4039187,-0.66587,-1.5330986,3.472644,-1.8573978,-1.9683678,-5.927786,-0.20783645,-3.020934,-0.67004853,2.3344252,2.091471,0
16.736223,-3.1544251,-3.6686978,4.31829,-0.9389835,15.800441,-4.5969977,-14.098703,6.21352,1.6361454,-3.1846175,6.9117517,-7.6054187,9.091364,3.667679,-9.691972,-9.363862,-3.8515255,-1.1883067,-12.494159,11.647218,5.38338,1.4234374,-6.013207,-5.3425546,-5.7243285,-11.529662,-2.3767178,-4.114067,5.1007876,-0.0027259565,1.9265596,-1.7448246,-0.6893203,2.7061355,10.584659,-0.7917378,-2.9516838,0.19000593,-4.0496483,-0.02701064,0.44360965,10.067157,4.0947466,-1.442607,2.276026,2.2090225,2.9558098,3.1254964,4.632498,0
8.014178,3.7976196,6.1072607,-11.713766,6.217385,25.211664,-4.20772,-5.602808,0.12896721,-2.9328449,-2.64945,-4.851979,-5.8529415,7.316149,-8.932754,-1.678819,2.6705287,2.303262,-7.0182743,0.9196009,3.4965773,-2.4298124,9.974547,3.9220386,-2.2853825,-1.3634312,0.73486257,-1.2446615,6.5510473,-1.9119662,8.825651,2.4391944,2.3482742,3.0919173,0.18818311,-3.4055529,3.7611954,-4.067898,4.641467,1.2762294,0.15573166,2.5663898,-1.653577,5.6486974,-0.87198186,-0.32743454,-3.7031648,1.0717278,-0.28317302,-0.24830931,0
-14.748955,-5.590334,11.450513,2.703887,2.6782355,3.6234937,-7.014258,-1.7328546,-0.489048,8.058127,5.9613724,4.5700254,0.68532324,4.3070836,-3.7724695,-0.1908642,-9.032945,-0.24017759,-5.8492503,2.056261,-1.5619322,2.0102243,-4.904927,2.500549,1.8601296,3.2512062,-6.6167016,-5.992097,5.6388583,-2.6589997,1.3778511,-6.6429777,3.2549117,1.9393014,-0.63503003,6.215703,1.6500877,5.720887,1.713397,-2.5933444,-4.3932195,-3.1876447,3.0404696,-0.43594193,-6.8122334,-0.30618963,1.5706085,1.0020956,1.0975624,7.5402603,0
